id,week,date,timeofday,LON,LAT,activity,withmask,maskcompliant,socialdist,sdmaskcomp,agegroup,white,sex,obese
3429,1,2/16/2021,133133,39.68326251,-75.749488,1,1,1,1,1,2,1,2,0
3430,1,2/16/2021,133133,39.68337294,-75.7498162,2,1,1,1,1,9,1,1,9
3431,1,2/16/2021,133144,39.68322432,-75.7499731,2,1,1,1,0,1,9,1,0
3432,1,2/16/2021,133144,39.683214,-75.7499677,2,1,1,1,0,3,0,2,0
3433,1,2/16/2021,133144,39.68320678,-75.7499691,2,1,1,1,0,2,1,2,0
3434,1,2/16/2021,133144,39.68317478,-75.7500898,2,0,9,9,1,2,1,2,0
3435,1,2/16/2021,133149,39.68329347,-75.7508944,2,1,1,1,1,3,9,1,0
3436,1,2/16/2021,133159,39.68315414,-75.750781,2,1,0,0,0,2,1,2,0
3437,1,2/16/2021,133159,39.68315827,-75.7507777,2,1,0,0,0,2,1,2,0
3438,1,2/16/2021,133203,39.68326044,-75.7512793,2,0,0,1,1,3,1,1,0
3439,1,2/16/2021,133207,39.68325425,-75.7514067,2,0,0,1,1,2,9,1,0
3440,1,2/16/2021,133208,39.68310976,-75.7513853,2,1,1,1,1,2,1,2,0
3441,1,2/16/2021,133208,39.68308602,-75.7515435,2,1,1,1,1,2,1,1,0
3442,1,2/16/2021,133208,39.68305403,-75.751831,2,1,1,1,1,9,1,1,9
3443,1,2/16/2021,133209,39.68310666,-75.7514859,2,1,1,1,1,4,1,1,0
3444,1,2/16/2021,133212,39.68321297,-75.7517313,2,1,1,1,0,3,1,2,1
3445,1,2/16/2021,133212,39.6832171,-75.7517219,2,0,0,0,0,2,1,1,0
3446,1,2/16/2021,133221,39.68319439,-75.7520558,2,1,1,1,1,3,1,1,0
3447,1,2/16/2021,133222,39.68317788,-75.7521323,2,1,1,1,1,2,9,9,0
3448,1,2/16/2021,133223,39.6830468,-75.752262,2,1,1,1,1,4,1,1,1
3449,1,2/16/2021,133253,39.68307776,-75.753651,1,1,1,1,1,2,1,2,9
3450,1,2/16/2021,133303,39.68336159,-75.7536195,1,1,1,1,1,9,1,2,9
3451,1,2/16/2021,133303,39.68330689,-75.7536155,2,1,1,1,0,2,9,1,0
3452,1,2/16/2021,133303,39.68328109,-75.7536128,2,1,1,1,0,2,1,2,0
3453,1,2/16/2021,133307,39.68323619,-75.7534492,2,1,0,1,1,2,1,2,9
3454,1,2/16/2021,133311,39.68356646,-75.7534009,1,1,1,1,1,2,1,2,1
3455,1,2/16/2021,133330,39.68379146,-75.752843,2,1,1,1,1,2,1,2,0
3456,1,2/16/2021,133330,39.68373985,-75.75278945,2,1,1,1,1,2,1,1,0
3457,1,2/16/2021,133334,39.68377081,-75.7526338,2,0,0,1,1,2,1,2,0
3458,1,2/16/2021,133338,39.68394008,-75.7524997,2,1,1,1,1,9,1,2,9
3459,1,2/16/2021,133345,39.68420429,-75.7524729,2,1,1,1,0,9,0,2,0
3460,1,2/16/2021,133345,39.68418571,-75.752464,2,1,1,1,0,9,0,2,0
3461,1,2/16/2021,133401,39.68449534,-75.7532051,2,1,1,1,1,2,0,2,0
3462,1,2/16/2021,133416,39.68458616,-75.7542244,2,1,1,1,0,2,1,2,9
3463,1,2/16/2021,133416,39.68464189,-75.7542378,2,1,1,1,0,2,1,2,9
3464,1,2/16/2021,133418,39.68421667,-75.75432,2,1,1,1,0,2,1,2,0
3465,1,2/16/2021,133418,39.68421667,-75.754304,2,1,1,1,0,2,1,1,0
3466,1,2/16/2021,133419,39.68466253,-75.75424857,2,1,1,1,0,2,1,2,1
3467,1,2/16/2021,133419,39.68466047,-75.7542378,2,1,1,1,0,2,1,2,0
3468,1,2/16/2021,133433,39.68488752,-75.754278,2,1,1,1,0,2,1,2,0
3469,1,2/16/2021,133433,39.68488959,-75.7542646,2,1,1,1,0,2,1,2,0
3470,1,2/16/2021,133435,39.68509396,-75.754302,2,1,1,1,0,2,1,2,0
3471,1,2/16/2021,133435,39.68509187,-75.754278,2,1,1,1,0,2,1,2,0
3472,1,2/16/2021,133445,39.68557284,-75.754487,2,1,9,9,1,2,1,1,0
3473,1,2/16/2021,133445,39.68560999,-75.7543746,2,1,1,1,1,2,1,2,0
3474,1,2/16/2021,133445,39.68545519,-75.7543505,2,0,0,1,1,2,1,1,1
3475,1,2/16/2021,133507,39.68639023,-75.7544578,2,1,1,1,1,2,1,2,0
3476,1,2/16/2021,133512,39.68668333,-75.7546133,2,1,1,1,1,2,1,2,0
3477,1,2/16/2021,133515,39.68678447,-75.7545972,4,1,1,1,1,2,1,2,0
